Action(SiteID=US|Country=US|Currency=USD|Version=585|CC=ISO-8859-1),ItemID,Title,SiteID,Currency,StartPrice,BuyItNowPrice,Quantity,Relationship,RelationshipDetails,CustomLabel
Revise,311640116689,"AGV Sport Blast Vented Textile Jacket - Black / Flo Yellow",eBayMotors,USD,,,0,,"Color=Black / Fluorescent Yellow | Size=Medium;Large;XX-Large;XXX-Large;Small;X-Large",
,,,,,149.00,,6,Variation,"Size=X-Large | Color=Black / Fluorescent Yellow",AGT-TBL-BKFY-6XL
,,,,,149.00,,0,Variation,"Size=Small | Color=Black / Fluorescent Yellow",AGT-TBL-BKFY-3S
,,,,,149.00,,0,Variation,"Size=Large | Color=Black / Fluorescent Yellow",AGT-TBL-BKFY-5L
,,,,,149.00,,6,Variation,"Size=Medium | Color=Black / Fluorescent Yellow",AGT-TBL-BKFY-4M
,,,,,149.00,,6,Variation,"Size=XX-Large | Color=Black / Fluorescent Yellow",AGT-TBL-BKFY-7XXL
,,,,,149.00,,3,Variation,"Size=XXX-Large | Color=Black / Fluorescent Yellow",AGT-TBL-BKFY-8XXXL
Revise,311640116691,"AGV Sport Canyon Leather Jacket - Black",eBayMotors,USD,,,0,,"Size=40;50;42;44;46;48 | Color=Black",
,,,,,229.00,,0,Variation,"Size=48 | Color=Black",AGS-JCP-BKBK-48
,,,,,229.00,,0,Variation,"Size=40 | Color=Black",AGS-JCP-BKBK-40
,,,,,229.00,,0,Variation,"Size=50 | Color=Black",AGS-JCP-BKBK-50
,,,,,229.00,,1,Variation,"Size=42 | Color=Black",AGS-JCP-BKBK-42
,,,,,229.00,,0,Variation,"Size=44 | Color=Black",AGS-JCP-BKBK-44
,,,,,229.00,,7,Variation,"Size=46 | Color=Black",AGS-JCP-BKBK-46
Revise,311640116695,"AGV Sport Decal",eBayMotors,USD,,,0,,Size=Large;Small,
,,,,,13.00,,6,Variation,Size=Large,208600
,,,,,12.00,,0,Variation,Size=Small,208601
Revise,142032134871,"AGV Sport Dragon Leather Jacket - Black / Red",eBayMotors,USD,,,0,,"Color=Black / Red | Size=40;46;44;48;50;52;42",
,,,,,289.00,,1,Variation,"Size=40 | Color=Black / Red",AGS-JDR-BKRD-40
,,,,,289.00,,6,Variation,"Size=46 | Color=Black / Red",AGS-JDR-BKRD-46
,,,,,289.00,,0,Variation,"Size=44 | Color=Black / Red",AGS-JDR-BKRD-44
,,,,,289.00,,6,Variation,"Size=48 | Color=Black / Red",AGS-JDR-BKRD-48
,,,,,289.00,,4,Variation,"Size=50 | Color=Black / Red",AGS-JDR-BKRD-50
,,,,,289.00,,1,Variation,"Size=52 | Color=Black / Red",AGS-JDR-BKRD-52
,,,,,289.00,,6,Variation,"Size=42 | Color=Black / Red",AGS-JDR-BKRD-42
