Item_ID|Color_ID|Dimension_ID|Size_ID|SKU_ID|Qty_On_Hand|SFA_Qty_On_Hand|Activity_Type_ID|BusinessUnitID|Available_Date|Ret_Price|Program_Price|Product Description|Mat Status|UPC

|||XS|107102|0|0|U|POWER||69.95|36.37|SHORTY BLK XS 03|60|876423003030

|||SMALL|107103|0|0|U|POWER||69.95|36.37|SHORTY BLK S 03|60|876423003047

|||MEDIUM|107104|0|0|U|POWER||69.95|36.37|SHORTY BLK M 03|60|876423003054

|||LARGE|107105|0|0|U|POWER||69.95|36.37|SHORTY BLK L 03|60|876423003061

|||XL|107106|0|0|U|POWER||69.95|36.37|SHORTY BLK XL 03|60|876423003078

|||XXL|107107|0|0|U|POWER||69.95|36.37|SHORTY BLK XXL 03|60|876423003085

|||SMALL|107109|0|0|U|POWER||69.95|36.37|SHORTY ANTHRACITE S 03|60|876423003108

|||MEDIUM|107110|0|0|U|POWER||69.95|36.37|SHORTY ANTRCT M|60|876423003115

|||LARGE|107111|0|0|U|POWER||69.95|36.37|SHORTY ANTRH L 03|60|876423003122

|||XL|107112|0|0|U|POWER||69.95|36.37|SHORTY ANTHRACITE XL 03|60|876423003139

|||XXL|107113|0|0|U|POWER||69.95|36.37|SHORTY ANTHRACITE XXL 03|60|876423003146

|||NA|107697|33|33|U|POWER||9.95|6.97|PS SHORTY/R-T VISOR BLACK|50|876423004426

|||NA|107698|0|0|U|POWER||9.95|6.97|SHORTY NECK CURTAIN BLK|50|876423004433

|||NA|110670|0|0|U|POWER||9.95|6.97|MOTO-7R VISOR MT BLK 04|50|876423007632

|||3 PIECE|110747|9|9|U|POWER||9.95|6.97|MX VIS SCRW BLK3PC|50|876423008400

|||NA|112252|269|269|U|POWER||0.95|1.37|BELL OVAL 60MM DCL, PKG 25|50|876423008622

|||NA|112253|45|45|U|POWER||4.95|3.47|BELL OVAL 80MM DCL, PKG 25|50|876423008639

|||NA|112254|36|36|U|POWER||14.95|10.47|BELL OVAL 160MM DCL, PKG 25|50|876423008646

|||NA|112255|0|0|U|POWER||29.95|20.97|BELL OVAL VAN 614MM, PKG 4|50|876423008653

||||114604|0|0|U|POWER||24.95|17.47|MAG-8 SHIELD CLEAR CHI|50|843142002118

||||114605|0|0|U|POWER||24.95|17.47|MAG-8 SHIELD SMOKE CHI|50|843142002125

|||XS/S|114638|0|0|U|POWER||25.95|18.17|MOTO-8 VISVT D M-BK XSS|50|843142002453

|||2 PC|114666|110|110|U|POWER||9.95|6.97|Moto-8/Moto-9 QKFLP VSR SCREW|50|843142002736

|||NA|114667|0|0|U|POWER||29.95|20.97|DELUXE HELMET BAG|50|843142002743

|||XS|116264|0|0|U|POWER||||PS SHORTY EAGLE XS 06|60|843142003511

||||118785|0|0|U|POWER||34.95|24.47|APX/SPRT/ARROW SHLD CLR AFOG|50|843142006963

||||118786|0|0|U|POWER||34.95|24.47|APX/SPRT/ARROW SHLD L SMK AFOG|50|843142006970

||||118787|0|0|U|POWER||34.95|24.47|APX/SPRT/ARROW SHLD D SMK AFOG|50|843142006987

||||118788|0|0|U|POWER||34.95|24.47|APX/SPRT/ARROW SHLD S IRD|50|843142006994

||||118789|0|0|U|POWER||34.95|24.47|APX/SPRTARROW SHLD B IRD|50|843142007007

||||118790|0|0|U|POWER||34.95|24.47|APX/SPRT/ARROW SHLD G IRD|50|843142007014

||||118832|0|0|U|POWER||14.95|10.47|SC VISOR MAT BLK|50|843142007434

||||120794|0|0|U|POWER||69.95|36.37|PS SHORTY BLK XXS 07|60|843142008653

||||120795|0|0|U|POWER||69.95|36.37|PS SHORTY ANTHRCT XXS 07|50|843142008660

||||120799|0|0|U|POWER||69.95|36.37|PS SHORTY MT BK/SLD XXS7|60|843142008707

||||120800|0|0|U|POWER||69.95|36.37|PS SHORTY MT BK/SLD XS07|60|843142008714

||||120801|0|0|U|POWER||69.95|36.37|PS SHORTY MT BK/SLD S 07|60|843142008721

||||120802|0|0|U|POWER||69.95|36.37|PS SHORTY MT BK/SLD M 07|60|843142008738

||||120803|0|0|U|POWER||69.95|36.37|PS SHORTY MT BK/SLD L 07|60|843142008745

||||120804|0|0|U|POWER||69.95|36.37|PS SHORTY MT BK/SLD XL07|60|843142008752

||||120805|0|0|U|POWER||69.95|36.37|PS SHORTY MT BK/SLD XXL7|60|843142008769

||||120880|0|0|U|POWER||109.95|57.17|PS DRIFTER CB BK/BRN XL7|60|843142009513

||||120936|0|0|U|POWER||9.95|6.97|SPRT/ARROW SHIELD PIVOT KIT|50|843142010014

||||120943|0|0|U|POWER||9.95|6.97|APEX SHIELD PIVOT KIT|60|843142010083

||||120944|0|0|U|POWER||29.95|17.97|APEX/SPRINT DOUBLE SNOW SHIELD KIT|50|843142010090

||||120945|0|0|U|POWER||84.95|50.97|APEX/SPRINT EL SNOW SHIELD KIT|50|843142010106

||||120948|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT  KT MG BLU XL/XXL|50|843142010137

||||120952|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT WHITE XS/S|50|843142010175

||||120954|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VNT WHITE XL/XXL|50|843142010199

||||120969|0|0|U|POWER||25.95||MAG-8 PADSET GRY 07 XS|60|843142010342

||||2008870|0|0|U|POWER||||PS SC-X PULSE PNK/SIL XS 08|60|843142011677

||||2008934|0|0|U|POWER|||74.98|PS SPRINT  MAT BLK SOLID  XL 08|60|843142012315

||||2009173|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VENT KIT WEY BLK/RED XS-S|50|843142012582

||||2009175|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VENT KIT WEY BLK/RED XLXXL|50|843142012605

||||2009177|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VENT KIT YAM OF TROY M-L|50|843142012629

||||2009179|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VENT KIT MANIC  XS-S|50|843142012643

||||2009181|0|0|U|POWER||25.95|18.17|PS MOTO-8 VIS/VENT KIT MANIC  XLXXL|50|843142012667

||||2009183|0|0|U|POWER||19.95|13.97|PS MOTO-8 TOP LINER BLACK/WHITE S 08|50|843142012681

||||2009184|0|0|U|POWER||19.95|13.97|PS MOTO-8 TOP LINER BLACK/WHITE  M 08|50|843142012698

||||2009185|0|0|U|POWER||19.95|13.97|PS MOTO-8 TOP LINER BLACK/WHITE  L 08|50|843142012704

||||2009186|0|0|U|POWER||19.95|13.97|PS MOTO-8 TOP LINER BLACK/WHITE XL 08|50|843142012711

||||2009188|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 20MM  XS-S|50|843142012735

||||2009189|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 25MM  XS-S|50|843142012742

||||2009190|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 30MM XS-S|50|843142012759

||||2009191|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 35MM XS-S|50|843142012766

||||2009192|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 20MM  M-L|50|843142012773

||||2009193|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 25MM  M/L|50|843142012780

||||2009194|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 30MM M/L|50|843142012797

||||2009195|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 35MM M/L|50|843142012803

||||2009196|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 20MM XLXXL|50|843142012810

||||2009197|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 25MM XLXXL|50|843142012827

||||2009198|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 30MM XLXXL|50|843142012834

||||2009199|0|0|U|POWER||19.95|13.97|PS MOTO-8 CHEEK PADSET BLK 08 35MM XLXXL|50|843142012841

